date,time,seq_length,trial_id,model,val_f1,val_auc,val_recall,val_precision,n_estimators,max_depth,min_samples_split,min_samples_leaf,val_threshold,best_test_threshold,best_val_so_far,best_trial_id,test_f1,test_auc,test_recall,test_precision,gap_val_test,is_enqueued,status
2026-07-09,10:32:25,4,10,RandomForest,0.6246,0.7611,0.6783,0.5788,190,19,8,1,0.37,0.31,0.6298,8,0.5797,0.7346,0.6107,0.5517,0.0449,False,OK
2026-07-09,10:32:26,4,11,RandomForest,0.6246,0.774,0.6943,0.5677,241,9,13,1,0.24,0.27,0.6298,8,0.5995,0.7583,0.6514,0.5553,0.0251,False,OK
2026-07-09,10:32:27,4,12,RandomForest,0.6286,0.7666,0.7006,0.5699,331,14,9,3,0.3,0.3,0.6298,8,0.6012,0.7474,0.6539,0.5563,0.0274,False,OK
2026-07-09,10:32:29,4,13,RandomForest,0.628,0.7673,0.707,0.5649,400,14,13,3,0.29,0.3,0.6298,8,0.5933,0.7476,0.6514,0.5447,0.0347,False,OK
2026-07-09,10:32:29,4,14,RandomForest,0.6307,0.7673,0.707,0.5692,222,13,11,5,0.28,0.29,0.6307,14,0.5944,0.7485,0.6489,0.5484,0.0363,False,OK
2026-07-09,10:32:30,4,15,RandomForest,0.6271,0.7657,0.707,0.5635,91,13,15,4,0.27,0.28,0.6307,14,0.594,0.7491,0.6514,0.5458,0.0332,False,OK
2026-07-09,10:32:31,4,16,RandomForest,0.6241,0.7681,0.6688,0.585,230,10,19,6,0.35,0.26,0.6307,14,0.5868,0.7532,0.6107,0.5647,0.0373,False,OK
2026-07-09,10:32:31,4,17,RandomForest,0.6261,0.7686,0.7038,0.5638,134,14,7,6,0.27,0.27,0.6307,14,0.5991,0.7473,0.6539,0.5527,0.027,False,OK
2026-07-09,10:32:32,4,18,RandomForest,0.6241,0.7672,0.6688,0.585,264,12,13,10,0.36,0.3,0.6307,14,0.5868,0.7487,0.6107,0.5647,0.0373,False,OK
2026-07-09,10:32:33,4,19,RandomForest,0.623,0.7703,0.6656,0.5854,384,3,13,8,0.36,0.2,0.6307,14,0.5894,0.7584,0.6081,0.5718,0.0336,False,OK
2026-07-09,10:32:35,4,20,RandomForest,0.6231,0.7704,0.6688,0.5833,470,9,20,2,0.33,0.29,0.6307,14,0.59,0.7548,0.6132,0.5684,0.0332,False,OK
2026-07-09,10:32:36,4,21,RandomForest,0.6278,0.7695,0.7038,0.5667,420,12,7,5,0.27,0.29,0.6307,14,0.5928,0.749,0.6463,0.5474,0.0351,False,OK
2026-07-09,10:32:37,4,22,RandomForest,0.6263,0.7664,0.6752,0.584,255,15,9,5,0.33,0.37,0.6307,14,0.5881,0.7443,0.6158,0.5628,0.0382,False,OK
2026-07-09,10:32:38,4,23,RandomForest,0.6278,0.7708,0.7038,0.5667,301,11,13,6,0.26,0.28,0.6307,14,0.5958,0.7515,0.6489,0.5508,0.032,False,OK
2026-07-09,10:32:39,4,24,RandomForest,0.6269,0.7737,0.6688,0.5899,70,7,10,1,0.35,0.26,0.6307,14,0.5904,0.7598,0.6107,0.5714,0.0365,False,OK
2026-07-09,10:32:40,4,25,RandomForest,0.6294,0.7661,0.6815,0.5847,395,20,10,5,0.34,0.4,0.6307,14,0.5908,0.7434,0.6209,0.5635,0.0386,False,OK
2026-07-09,10:32:41,4,26,RandomForest,0.625,0.7659,0.7006,0.5641,493,20,8,7,0.29,0.29,0.6307,14,0.5972,0.7431,0.6489,0.5531,0.0278,False,OK
2026-07-09,10:32:43,4,27,RandomForest,0.6265,0.7676,0.6783,0.582,428,19,15,4,0.33,0.4,0.6307,14,0.5908,0.7462,0.6209,0.5635,0.0357,False,OK
2026-07-09,10:32:44,4,28,RandomForest,0.6241,0.7662,0.6688,0.585,367,20,14,8,0.34,0.29,0.6307,14,0.5868,0.7454,0.6107,0.5647,0.0373,False,OK
2026-07-09,10:32:45,4,29,RandomForest,0.6265,0.7629,0.6783,0.582,354,20,8,3,0.36,0.38,0.6307,14,0.5908,0.7415,0.6209,0.5635,0.0357,False,OK
2026-07-09,10:32:46,4,30,RandomForest,0.6259,0.769,0.7006,0.5656,181,10,6,3,0.25,0.29,0.6307,14,0.5923,0.7529,0.6489,0.5449,0.0336,False,OK
2026-07-09,10:32:47,4,31,RandomForest,0.625,0.7659,0.7006,0.5641,356,20,8,7,0.3,0.3,0.6307,14,0.5972,0.7441,0.6489,0.5531,0.0278,False,OK
2026-07-09,10:32:48,4,32,RandomForest,0.6278,0.7693,0.7038,0.5667,251,12,9,4,0.28,0.28,0.6307,14,0.5967,0.7491,0.6514,0.5505,0.0311,False,OK
2026-07-09,10:32:48,4,33,RandomForest,0.6212,0.7623,0.6815,0.5707,145,20,19,1,0.34,0.41,0.6307,14,0.5846,0.7407,0.6285,0.5465,0.0366,False,OK
2026-07-09,10:32:49,4,34,RandomForest,0.6272,0.7629,0.6752,0.5856,310,16,9,1,0.36,0.28,0.6307,14,0.5867,0.7427,0.6158,0.5602,0.0406,False,OK
2026-07-09,10:32:51,4,35,RandomForest,0.6271,0.7671,0.707,0.5635,341,19,12,5,0.3,0.4,0.6307,14,0.5947,0.7428,0.6514,0.547,0.0325,False,OK
2026-07-09,10:32:51,4,36,RandomForest,0.6278,0.7683,0.7038,0.5667,138,11,11,3,0.26,0.27,0.6307,14,0.5956,0.754,0.6539,0.5468,0.0322,False,OK
2026-07-09,10:32:53,4,37,RandomForest,0.6285,0.7651,0.6815,0.5831,468,18,7,4,0.35,0.38,0.6307,14,0.5908,0.7421,0.6209,0.5635,0.0377,False,OK
2026-07-09,10:32:53,4,38,RandomForest,0.6259,0.771,0.6688,0.5882,59,6,17,8,0.38,0.39,0.6307,14,0.5882,0.7597,0.6107,0.5674,0.0377,False,OK
2026-07-09,10:32:54,4,39,RandomForest,0.6265,0.7672,0.6783,0.582,190,16,14,4,0.33,0.39,0.6307,14,0.5915,0.746,0.6209,0.5648,0.035,False,OK
2026-07-09,10:32:55,4,40,RandomForest,0.6248,0.7692,0.6975,0.5659,406,11,8,2,0.25,0.23,0.6307,14,0.597,0.7529,0.6539,0.5491,0.0278,False,OK
2026-07-09,10:32:57,4,41,RandomForest,0.6302,0.7625,0.6783,0.5884,492,18,5,3,0.36,0.38,0.6307,14,0.5915,0.7403,0.6209,0.5648,0.0387,False,OK
2026-07-09,10:32:58,4,42,RandomForest,0.6276,0.7614,0.6815,0.5815,493,20,6,3,0.36,0.37,0.6307,14,0.5884,0.7381,0.6183,0.5612,0.0392,False,OK
2026-07-09,10:33:00,4,43,RandomForest,0.6266,0.7609,0.6815,0.5799,485,16,5,2,0.35,0.42,0.6307,14,0.5884,0.7415,0.6183,0.5612,0.0383,False,OK
2026-07-09,10:33:00,4,44,RandomForest,0.6271,0.7692,0.707,0.5635,222,12,13,4,0.25,0.29,0.6307,14,0.5945,0.7492,0.6565,0.5432,0.0326,False,OK
2026-07-09,10:33:01,4,45,RandomForest,0.6241,0.7667,0.6688,0.585,258,10,7,8,0.34,0.27,0.6307,14,0.5868,0.7507,0.6107,0.5647,0.0373,False,OK
2026-07-09,10:33:03,4,46,RandomForest,0.6298,0.7687,0.707,0.5678,480,13,3,5,0.27,0.29,0.6307,14,0.594,0.7483,0.6514,0.5458,0.0358,False,OK
2026-07-09,10:33:04,4,47,RandomForest,0.6287,0.7695,0.7038,0.5681,478,12,4,5,0.28,0.29,0.6307,14,0.5942,0.7497,0.6463,0.5498,0.0346,False,OK
2026-07-09,10:33:06,4,48,RandomForest,0.6289,0.7667,0.707,0.5663,482,14,2,7,0.27,0.28,0.6307,14,0.5951,0.7463,0.6489,0.5496,0.0338,False,OK
2026-07-09,10:33:07,4,49,RandomForest,0.6254,0.7679,0.707,0.5606,352,16,2,6,0.28,0.3,0.6307,14,0.5933,0.7452,0.6514,0.5447,0.0321,False,OK
2026-07-09,10:33:07,4,50,RandomForest,0.6259,0.7687,0.7006,0.5656,93,15,7,10,0.27,0.4,0.6307,14,0.5939,0.7491,0.6438,0.5512,0.032,False,OK
2026-07-09,10:33:09,4,51,RandomForest,0.6259,0.7679,0.6688,0.5882,471,19,2,10,0.36,0.29,0.6307,14,0.5882,0.7462,0.6107,0.5674,0.0377,False,OK
2026-07-09,10:33:10,4,52,RandomForest,0.627,0.7663,0.7038,0.5652,457,16,4,7,0.28,0.29,0.6307,14,0.5944,0.7443,0.6489,0.5484,0.0325,False,OK
2026-07-09,10:33:12,4,53,RandomForest,0.628,0.7672,0.707,0.5649,421,13,2,7,0.27,0.27,0.6307,14,0.5958,0.7479,0.6489,0.5508,0.0322,False,OK
2026-07-09,10:33:13,4,54,RandomForest,0.6287,0.7703,0.7038,0.5681,454,11,2,5,0.26,0.29,0.6307,14,0.5944,0.7509,0.6489,0.5484,0.0343,False,OK
2026-07-09,10:33:13,4,55,RandomForest,0.6259,0.7674,0.6688,0.5882,104,8,11,7,0.38,0.28,0.6307,14,0.5882,0.755,0.6107,0.5674,0.0377,False,OK
2026-07-09,10:33:15,4,56,RandomForest,0.6294,0.7644,0.6815,0.5847,400,16,2,3,0.33,0.41,0.6307,14,0.5901,0.7433,0.6209,0.5622,0.0393,False,OK
2026-07-09,10:33:16,4,57,RandomForest,0.6257,0.7608,0.6815,0.5784,382,16,5,2,0.34,0.43,0.6307,14,0.5877,0.7422,0.6183,0.5599,0.0381,False,OK
2026-07-09,10:33:17,4,58,RandomForest,0.6285,0.763,0.6815,0.5831,343,18,2,3,0.35,0.37,0.6307,14,0.5894,0.7402,0.6209,0.5609,0.0391,False,OK
2026-07-09,10:33:18,4,59,RandomForest,0.6241,0.7717,0.6688,0.585,257,4,19,10,0.32,0.31,0.6307,14,0.5882,0.7576,0.6107,0.5674,0.0358,False,OK
2026-07-09,10:33:19,4,60,RandomForest,0.6307,0.7674,0.707,0.5692,454,14,2,4,0.29,0.29,0.6307,14,0.5977,0.7455,0.6539,0.5503,0.033,False,OK
2026-07-09,10:33:21,4,61,RandomForest,0.6272,0.7662,0.6752,0.5856,477,13,2,3,0.33,0.3,0.6307,14,0.592,0.7457,0.6183,0.5678,0.0353,False,OK
2026-07-09,10:33:23,4,62,RandomForest,0.627,0.7663,0.6879,0.576,488,16,2,4,0.32,0.37,0.6307,14,0.5854,0.7427,0.6234,0.5518,0.0416,False,OK
2026-07-09,10:33:24,4,63,RandomForest,0.6259,0.7672,0.6688,0.5882,469,11,13,10,0.36,0.28,0.6307,14,0.5882,0.7487,0.6107,0.5674,0.0377,False,OK
2026-07-09,10:33:25,4,64,RandomForest,0.623,0.7705,0.6656,0.5854,380,3,16,1,0.36,0.2,0.6307,14,0.5872,0.7589,0.6081,0.5677,0.0357,False,OK
2026-07-09,10:33:26,4,65,RandomForest,0.6279,0.7664,0.6879,0.5775,344,15,3,4,0.32,0.37,0.6307,14,0.5875,0.7453,0.6234,0.5556,0.0404,False,OK
2026-07-09,10:33:28,4,66,RandomForest,0.6277,0.7684,0.7006,0.5685,367,11,4,4,0.28,0.28,0.6307,14,0.5995,0.7507,0.6514,0.5553,0.0281,False,OK
2026-07-09,10:33:28,4,67,RandomForest,0.6263,0.7654,0.6752,0.584,146,16,9,4,0.35,0.38,0.6307,14,0.5901,0.7441,0.6209,0.5622,0.0362,False,OK
2026-07-09,10:33:29,4,68,RandomForest,0.6259,0.7711,0.6688,0.5882,226,7,11,4,0.36,0.27,0.6307,14,0.5882,0.7581,0.6107,0.5674,0.0377,False,OK
2026-07-09,10:33:30,4,69,RandomForest,0.622,0.7705,0.6656,0.5838,468,3,3,8,0.35,0.36,0.6307,14,0.589,0.7585,0.6107,0.5687,0.0331,False,OK
2026-07-09,10:33:31,4,70,RandomForest,0.6259,0.7709,0.6688,0.5882,69,7,4,5,0.34,0.38,0.6307,14,0.5882,0.7576,0.6107,0.5674,0.0377,False,OK
2026-07-09,10:33:32,4,71,RandomForest,0.6274,0.7657,0.6783,0.5836,429,16,2,4,0.35,0.37,0.6307,14,0.5891,0.7429,0.6183,0.5625,0.0383,False,OK
2026-07-09,10:33:34,4,72,RandomForest,0.628,0.7672,0.707,0.5649,478,13,2,7,0.27,0.26,0.6307,14,0.5958,0.7477,0.6489,0.5508,0.0322,False,OK
2026-07-09,10:33:35,4,73,RandomForest,0.6287,0.7674,0.7038,0.5681,465,15,9,6,0.29,0.28,0.6307,14,0.5965,0.7464,0.6489,0.5519,0.0322,False,OK
2026-07-09,10:33:36,4,74,RandomForest,0.6255,0.768,0.6943,0.5692,182,11,8,1,0.29,0.23,0.6307,14,0.5976,0.7522,0.6463,0.5558,0.0279,False,OK
2026-07-09,10:33:37,4,75,RandomForest,0.628,0.7695,0.707,0.5649,236,13,12,6,0.26,0.27,0.6307,14,0.5953,0.7478,0.6514,0.5482,0.0327,False,OK
2026-07-09,10:33:39,4,76,RandomForest,0.6287,0.7672,0.7038,0.5681,481,14,8,4,0.29,0.38,0.6307,14,0.596,0.7456,0.6514,0.5494,0.0327,False,OK
2026-07-09,10:33:40,4,77,RandomForest,0.6283,0.7622,0.6783,0.5852,484,17,10,1,0.36,0.3,0.6307,14,0.5908,0.741,0.6209,0.5635,0.0375,False,OK
2026-07-09,10:33:42,4,78,RandomForest,0.6259,0.7671,0.7006,0.5656,478,17,4,6,0.29,0.29,0.6307,14,0.5944,0.7453,0.6489,0.5484,0.0315,False,OK
2026-07-09,10:33:43,4,79,RandomForest,0.6259,0.7672,0.6688,0.5882,496,11,4,10,0.36,0.28,0.6307,14,0.5882,0.7488,0.6107,0.5674,0.0377,False,OK
2026-07-09,10:33:44,4,80,RandomForest,0.6276,0.7653,0.6815,0.5815,382,19,7,4,0.34,0.38,0.6307,14,0.588,0.7425,0.6209,0.5584,0.0396,False,OK
2026-07-09,10:33:46,4,81,RandomForest,0.6278,0.7691,0.7038,0.5667,500,11,5,4,0.26,0.28,0.6307,14,0.5953,0.751,0.6514,0.5482,0.0325,False,OK
2026-07-09,10:33:48,4,82,RandomForest,0.6294,0.7658,0.6815,0.5847,479,15,5,4,0.33,0.41,0.6307,14,0.5915,0.7451,0.6209,0.5648,0.0379,False,OK
2026-07-09,10:33:49,4,83,RandomForest,0.6294,0.7649,0.6815,0.5847,481,16,6,3,0.33,0.41,0.6307,14,0.5901,0.7427,0.6209,0.5622,0.0393,False,OK
2026-07-09,10:33:50,4,84,RandomForest,0.6266,0.7602,0.6815,0.5799,430,18,4,2,0.35,0.38,0.6307,14,0.588,0.7417,0.6209,0.5584,0.0387,False,OK
2026-07-09,10:33:52,4,85,RandomForest,0.6287,0.7667,0.7038,0.5681,441,14,7,3,0.3,0.3,0.6307,14,0.5984,0.7468,0.6539,0.5515,0.0304,False,OK
2026-07-09,10:33:53,4,86,RandomForest,0.627,0.7688,0.7038,0.5652,314,12,20,1,0.26,0.26,0.6307,14,0.6028,0.7501,0.6641,0.5518,0.0242,False,OK
2026-07-09,10:33:54,4,87,RandomForest,0.6274,0.7654,0.6783,0.5836,483,16,4,4,0.35,0.37,0.6307,14,0.5891,0.7427,0.6183,0.5625,0.0383,False,OK
2026-07-09,10:33:56,4,88,RandomForest,0.6289,0.7678,0.707,0.5663,420,18,12,6,0.29,0.3,0.6307,14,0.5944,0.7445,0.6489,0.5484,0.0345,False,OK
2026-07-09,10:33:57,4,89,RandomForest,0.623,0.7692,0.6656,0.5854,231,3,8,10,0.36,0.35,0.6307,14,0.5894,0.7569,0.6081,0.5718,0.0336,False,OK
2026-07-09,10:33:58,4,90,RandomForest,0.6281,0.764,0.6752,0.5873,403,14,2,3,0.34,0.37,0.6307,14,0.592,0.7452,0.6183,0.5678,0.0362,False,OK
2026-07-09,10:33:59,4,91,RandomForest,0.6278,0.7703,0.7038,0.5667,218,11,8,5,0.27,0.28,0.6307,14,0.5967,0.7508,0.6514,0.5505,0.0311,False,OK
2026-07-09,10:34:00,4,92,RandomForest,0.6276,0.7656,0.6815,0.5815,489,17,5,4,0.34,0.37,0.6307,14,0.5887,0.7435,0.6209,0.5596,0.0389,False,OK
2026-07-09,10:34:02,4,93,RandomForest,0.6215,0.7561,0.672,0.5781,443,17,2,1,0.36,0.4,0.6307,14,0.5794,0.737,0.6081,0.5532,0.0421,False,OK
2026-07-09,10:34:03,4,94,RandomForest,0.628,0.7667,0.707,0.5649,341,20,10,6,0.3,0.29,0.6307,14,0.5944,0.7447,0.6489,0.5484,0.0336,False,OK
2026-07-09,10:34:04,4,95,RandomForest,0.6259,0.7678,0.7006,0.5656,456,17,19,9,0.27,0.27,0.6307,14,0.5955,0.7448,0.6463,0.5522,0.0303,False,OK
2026-07-09,10:34:06,4,96,RandomForest,0.6289,0.7686,0.707,0.5663,477,13,2,5,0.27,0.26,0.6307,14,0.594,0.7484,0.6514,0.5458,0.0349,False,OK
2026-07-09,10:34:07,4,97,RandomForest,0.6156,0.7688,0.6401,0.5929,192,2,13,2,0.41,0.38,0.6307,14,0.5783,0.756,0.5776,0.5791,0.0373,False,OK
2026-07-09,10:34:08,4,98,RandomForest,0.6283,0.7646,0.6783,0.5852,488,18,8,3,0.36,0.38,0.6307,14,0.5898,0.7429,0.6183,0.5638,0.0385,False,OK
2026-07-09,10:34:09,4,99,RandomForest,0.6287,0.7675,0.7038,0.5681,402,15,6,6,0.29,0.29,0.6307,14,0.5972,0.7463,0.6489,0.5531,0.0315,False,OK
